County,Population 18-24,Bachelors 18-24,Population Over 25,Bachelors Over 25
"Catawba County, North Carolina",13486,1767,115082,29840
"Chatham County, North Carolina",6329,637,58580,28276
"Cleveland County, North Carolina",8859,335,69440,14386
"Craven County, North Carolina",10060,978,69000,19960
"Cumberland County, North Carolina",43273,3652,209375,59130
"Davidson County, North Carolina",14195,954,121361,26091
"Durham County, North Carolina",37018,10135,231307,126418
"Forsyth County, North Carolina",40081,5734,262167,103347
"Franklin County, North Carolina",6782,694,51808,14525
"Gaston County, North Carolina",18983,2348,163467,48731
"Guilford County, North Carolina",66822,7236,361159,143588
"Harnett County, North Carolina",12701,644,91084,21576
"Henderson County, North Carolina",7332,504,89502,35416
"Iredell County, North Carolina",15659,1786,137165,47387
"Johnston County, North Carolina",18944,1966,158636,46964
"Lee County, North Carolina",5317,306,44477,10279
"Lincoln County, North Carolina",7783,219,66162,19888
"Mecklenburg County, North Carolina",109148,22513,779742,388699
"Moore County, North Carolina",6313,998,76554,30553
"Nash County, North Carolina",7374,857,67288,14815
"New Hanover County, North Carolina",27265,4943,166758,74571
"Onslow County, North Carolina",42911,974,113391,32268
"Orange County, North Carolina",30393,5436,92593,58659
"Pender County, North Carolina",4180,820,47102,15543
"Pitt County, North Carolina",30732,4295,106189,38688
"Randolph County, North Carolina",11907,1024,101979,19854
"Robeson County, North Carolina",12528,656,74653,12210
"Rockingham County, North Carolina",7534,413,65934,10528
"Rowan County, North Carolina",13843,871,103703,23375
"Surry County, North Carolina",5517,569,51154,8561
"Union County, North Carolina",23181,2555,163081,61917
"Wake County, North Carolina",108206,24685,800325,451801
"Wayne County, North Carolina",10586,608,79276,14472
"Wilkes County, North Carolina",4935,157,47735,6967
"Wilson County, North Carolina",7259,995,53518,11890
"Burleigh County, North Dakota",9140,1975,66937,24867
"Cass County, North Dakota",29390,6781,121221,53916
"Grand Forks County, North Dakota",14925,2689,42903,16757
"Ward County, North Dakota",7941,486,44415,12015
"Allen County, Ohio",9846,792,67774,13523
"Ashtabula County, Ohio",8064,111,67951,10762
"Belmont County, Ohio",4995,352,48051,10141
"Butler County, Ohio",45173,4117,253568,84311
"Clark County, Ohio",12061,1157,93343,19106
"Clermont County, Ohio",16837,1306,147689,45280
"Columbiana County, Ohio",7182,120,72930,11695
"Cuyahoga County, Ohio",103505,17135,881495,332211
"Delaware County, Ohio",18822,3619,152078,86516
"Erie County, Ohio",6914,1409,53652,14942
"Fairfield County, Ohio",13289,1191,111154,33146
"Franklin County, Ohio",129359,19184,889546,376652
"Geauga County, Ohio",7468,647,66797,28895
"Greene County, Ohio",19540,2697,114430,46479
"Hamilton County, Ohio",77883,13466,561054,234411
"Hancock County, Ohio",7063,1200,51720,17236
"Lake County, Ohio",19103,2402,168592,55580
"Licking County, Ohio",16262,1062,123947,38487
"Lorain County, Ohio",27108,3645,221436,66647
"Lucas County, Ohio",39426,5612,290548,87915
"Mahoning County, Ohio",20230,3249,160136,47434
"Marion County, Ohio",5365,327,45516,7607
"Medina County, Ohio",13886,1915,130825,47398
"Miami County, Ohio",8123,956,77072,21921
"Montgomery County, Ohio",49221,5618,367909,121062
"Muskingum County, Ohio",7611,1148,59167,13227
"Portage County, Ohio",25413,2860,108007,39354
"Richland County, Ohio",10804,1375,87500,15693
"Ross County, Ohio",5606,547,54939,9052
"Scioto County, Ohio",5842,612,50635,10886
"Stark County, Ohio",31416,4767,261722,67284
"Summit County, Ohio",44431,5172,381824,141081
"Trumbull County, Ohio",16019,1378,143665,30623
"Tuscarawas County, Ohio",7510,361,63720,13576
